mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 3
rows > break_point1: 0
rows > break_point2: 0
num movs: 2
mean rating: 1343.33
total number of ratings in train: 6
total number of ratings in test: 2
average ratings per row: 1.5
rows > break_point1: 0
rows > break_point2: 0
num users: 4
hostname: johnpc-Lenovo-Z50-70
pid: 17321
num_latent: 16
nprocs: 1
nthrds: 1
nsims: 10000
burnin: 50
grain_size: 1
alpha: 2
0: Sampling iteration 61:	 RMSE: 7.5801	avg RMSE: 6.1254	FU(1701.57)	FM(  8.07)	items/sec: 48026.38	ratings/sec:   0.05M
0: Sampling iteration 62:	 RMSE: 9.5035	avg RMSE: 6.3304	FU(1700.95)	FM(  8.04)	items/sec: 48118.21	ratings/sec:   0.05M
0: Sampling iteration 63:	 RMSE: 5.6675	avg RMSE: 5.4087	FU(1700.53)	FM(  7.46)	items/sec: 38657.18	ratings/sec:   0.04M
0: Sampling iteration 64:	 RMSE: 18.4252	avg RMSE: 6.3156	FU(1710.18)	FM(  7.50)	items/sec: 54003.91	ratings/sec:   0.05M
0: Sampling iteration 65:	 RMSE: 8.7176	avg RMSE: 6.2828	FU(1708.05)	FM(  7.50)	items/sec: 52428.80	ratings/sec:   0.05M
0: Sampling iteration 66:	 RMSE: 8.1906	avg RMSE: 6.4013	FU(1707.64)	FM(  5.20)	items/sec: 42581.77	ratings/sec:   0.04M
0: Sampling iteration 67:	 RMSE: 6.7487	avg RMSE: 6.2565	FU(1706.15)	FM(  6.01)	items/sec: 53430.62	ratings/sec:   0.05M
0: Sampling iteration 68:	 RMSE: 6.5460	avg RMSE: 6.2690	FU(1704.82)	FM(  5.92)	items/sec: 54236.69	ratings/sec:   0.05M
0: Sampling iteration 69:	 RMSE: 7.8697	avg RMSE: 6.0906	FU(1706.33)	FM(  9.17)	items/sec: 54236.69	ratings/sec:   0.05M
0: Sampling iteration 70:	 RMSE: 10.0930	avg RMSE: 6.2718	FU(1706.46)	FM(  9.58)	items/sec: 52869.38	ratings/sec:   0.05M
0: Sampling iteration 71:	 RMSE: 13.3179	avg RMSE: 6.6020	FU(1708.71)	FM( 10.86)	items/sec: 54589.64	ratings/sec:   0.05M
0: Sampling iteration 72:	 RMSE: 17.1145	avg RMSE: 7.0755	FU(1707.32)	FM( 10.68)	items/sec: 54827.50	ratings/sec:   0.05M
0: Sampling iteration 73:	 RMSE: 34.1704	avg RMSE: 8.1139	FU(1708.65)	FM(  9.47)	items/sec: 52538.25	ratings/sec:   0.05M
0: Sampling iteration 74:	 RMSE: 18.8179	avg RMSE: 8.5585	FU(1707.12)	FM( 12.24)	items/sec: 55067.45	ratings/sec:   0.06M
0: Sampling iteration 75:	 RMSE: 34.9088	avg RMSE: 9.3755	FU(1707.49)	FM( 12.62)	items/sec: 54708.31	ratings/sec:   0.05M
0: Sampling iteration 76:	 RMSE: 39.9070	avg RMSE: 10.5237	FU(1711.20)	FM( 10.84)	items/sec: 55067.45	ratings/sec:   0.06M
0: Sampling iteration 77:	 RMSE: 35.3979	avg RMSE: 8.9570	FU(1693.19)	FM( 11.40)	items/sec: 43919.41	ratings/sec:   0.04M
0: Sampling iteration 78:	 RMSE: 23.3837	avg RMSE: 8.0345	FU(1696.00)	FM( 12.18)	items/sec: 45100.04	ratings/sec:   0.05M
0: Sampling iteration 79:	 RMSE: 16.2089	avg RMSE: 7.9061	FU(1702.07)	FM( 11.17)	items/sec: 47572.45	ratings/sec:   0.05M
0: Sampling iteration 80:	 RMSE: 6.2085	avg RMSE: 7.8494	FU(1706.39)	FM( 10.15)	items/sec: 46091.25	ratings/sec:   0.05M
0: Sampling iteration 81:	 RMSE: 1.6776	avg RMSE: 7.5880	FU(1705.27)	FM(  8.24)	items/sec: 48676.64	ratings/sec:   0.05M
0: Sampling iteration 82:	 RMSE: 7.3939	avg RMSE: 7.4858	FU(1705.55)	FM(  9.75)	items/sec: 43240.25	ratings/sec:   0.04M
0: Sampling iteration 83:	 RMSE: 6.2644	avg RMSE: 7.1085	FU(1705.83)	FM( 12.13)	items/sec: 53430.62	ratings/sec:   0.05M
0: Sampling iteration 84:	 RMSE: 6.4556	avg RMSE: 7.0411	FU(1710.03)	FM( 11.14)	items/sec: 53658.47	ratings/sec:   0.05M
0: Sampling iteration 85:	 RMSE: 1.4577	avg RMSE: 6.7983	FU(1712.16)	FM(  9.88)	items/sec: 52428.80	ratings/sec:   0.05M
0: Sampling iteration 86:	 RMSE: 7.2053	avg RMSE: 6.8024	FU(1713.04)	FM( 11.56)	items/sec: 41527.76	ratings/sec:   0.04M
0: Sampling iteration 87:	 RMSE: 8.3638	avg RMSE: 6.8403	FU(1711.24)	FM( 14.86)	items/sec: 34663.67	ratings/sec:   0.03M
0: Sampling iteration 88:	 RMSE: 13.2358	avg RMSE: 6.9213	FU(1710.69)	FM( 12.70)	items/sec: 33870.56	ratings/sec:   0.03M
0: Sampling iteration 89:	 RMSE: 13.2791	avg RMSE: 6.5692	FU(1719.42)	FM( 14.57)	items/sec: 48302.93	ratings/sec:   0.05M
0: Sampling iteration 90:	 RMSE: 19.5761	avg RMSE: 6.7557	FU(1707.89)	FM( 12.52)	items/sec: 48489.06	ratings/sec:   0.05M
0: Sampling iteration 91:	 RMSE: 4.9309	avg RMSE: 6.5815	FU(1716.75)	FM( 13.13)	items/sec: 48582.67	ratings/sec:   0.05M
0: Sampling iteration 92:	 RMSE: 7.3145	avg RMSE: 6.5429	FU(1714.75)	FM( 10.43)	items/sec: 47662.55	ratings/sec:   0.05M
0: Sampling iteration 93:	 RMSE: 3.5464	avg RMSE: 6.4502	FU(1702.03)	FM( 11.92)	items/sec: 38130.04	ratings/sec:   0.04M
0: Sampling iteration 94:	 RMSE: 6.3836	avg RMSE: 6.4137	FU(1703.73)	FM( 10.73)	items/sec: 48770.98	ratings/sec:   0.05M
0: Sampling iteration 95:	 RMSE: 4.8059	avg RMSE: 6.2792	FU(1704.73)	FM(  9.70)	items/sec: 47038.92	ratings/sec:   0.05M
0: Sampling iteration 96:	 RMSE: 16.6357	avg RMSE: 6.1718	FU(1709.34)	FM( 10.26)	items/sec: 48865.68	ratings/sec:   0.05M
0: Sampling iteration 97:	 RMSE: 19.8989	avg RMSE: 6.1297	FU(1713.42)	FM( 10.82)	items/sec: 48960.75	ratings/sec:   0.05M
0: Sampling iteration 98:	 RMSE: 14.0100	avg RMSE: 5.8906	FU(1715.09)	FM(  9.72)	items/sec: 44462.59	ratings/sec:   0.04M
0: Sampling iteration 99:	 RMSE: 12.0559	avg RMSE: 5.8980	FU(1712.50)	FM(  9.48)	items/sec: 46345.90	ratings/sec:   0.05M
0: Sampling iteration 100:	 RMSE: 9.5664	avg RMSE: 5.7594	FU(1710.28)	FM( 10.91)	items/sec: 48770.98	ratings/sec:   0.05M
0: Sampling iteration 101:	 RMSE: 16.5923	avg RMSE: 5.6205	FU(1708.79)	FM( 10.61)	items/sec: 40721.40	ratings/sec:   0.04M
0: Sampling iteration 102:	 RMSE: 60.3939	avg RMSE: 5.2064	FU(1700.78)	FM( 13.77)	items/sec: 35001.15	ratings/sec:   0.04M
0: Sampling iteration 103:	 RMSE: 31.5373	avg RMSE: 4.8738	FU(1709.73)	FM( 13.17)	items/sec: 41459.35	ratings/sec:   0.04M
0: Sampling iteration 104:	 RMSE: 32.6174	avg RMSE: 4.7081	FU(1727.12)	FM(  8.77)	items/sec: 47572.45	ratings/sec:   0.05M
0: Sampling iteration 105:	 RMSE: 46.1954	avg RMSE: 4.3559	FU(1729.83)	FM( 12.13)	items/sec: 45839.39	ratings/sec:   0.05M
0: Sampling iteration 106:	 RMSE: 38.8591	avg RMSE: 4.8317	FU(1723.91)	FM(  9.85)	items/sec: 46006.99	ratings/sec:   0.05M
0: Sampling iteration 107:	 RMSE: 27.0406	avg RMSE: 4.7537	FU(1721.57)	FM( 10.63)	items/sec: 48302.93	ratings/sec:   0.05M
0: Sampling iteration 108:	 RMSE: 28.3410	avg RMSE: 5.1139	FU(1724.23)	FM( 11.75)	items/sec: 49344.75	ratings/sec:   0.05M
0: Sampling iteration 109:	 RMSE: 27.5026	avg RMSE: 5.1513	FU(1729.49)	FM( 13.40)	items/sec: 49932.19	ratings/sec:   0.05M
0: Sampling iteration 110:	 RMSE: 28.6436	avg RMSE: 5.4902	FU(1726.10)	FM(  7.93)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 111:	 RMSE: 31.7429	avg RMSE: 5.9094	FU(1726.78)	FM( 11.16)	items/sec: 47934.90	ratings/sec:   0.05M
0: Sampling iteration 112:	 RMSE: 17.5351	avg RMSE: 5.8691	FU(1722.85)	FM(  5.90)	items/sec: 49539.02	ratings/sec:   0.05M
0: Sampling iteration 113:	 RMSE: 21.4097	avg RMSE: 6.0550	FU(1731.42)	FM(  8.01)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 114:	 RMSE: 17.1222	avg RMSE: 6.0520	FU(1729.99)	FM(  7.12)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 115:	 RMSE: 17.2832	avg RMSE: 5.9703	FU(1728.61)	FM(  6.49)	items/sec: 47752.99	ratings/sec:   0.05M
0: Sampling iteration 116:	 RMSE: 10.6076	avg RMSE: 6.0319	FU(1737.22)	FM(  8.53)	items/sec: 49441.70	ratings/sec:   0.05M
0: Sampling iteration 117:	 RMSE: 5.7160	avg RMSE: 6.0088	FU(1739.83)	FM(  7.24)	items/sec: 46431.41	ratings/sec:   0.05M
0: Sampling iteration 118:	 RMSE: 4.8420	avg RMSE: 5.9859	FU(1736.07)	FM(  8.04)	items/sec: 48210.39	ratings/sec:   0.05M
0: Sampling iteration 119:	 RMSE: 7.0083	avg RMSE: 5.8930	FU(1745.25)	FM(  5.63)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 120:	 RMSE: 15.6504	avg RMSE: 5.8906	FU(1755.26)	FM(  8.14)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 121:	 RMSE: 4.9504	avg RMSE: 5.8774	FU(1750.54)	FM( 12.39)	items/sec: 47843.77	ratings/sec:   0.05M
0: Sampling iteration 122:	 RMSE: 6.7836	avg RMSE: 5.8751	FU(1754.47)	FM( 11.10)	items/sec: 49734.83	ratings/sec:   0.05M
0: Sampling iteration 123:	 RMSE: 9.6379	avg RMSE: 5.8784	FU(1752.12)	FM(  7.97)	items/sec: 43389.35	ratings/sec:   0.04M
0: Sampling iteration 124:	 RMSE: 6.2994	avg RMSE: 5.8626	FU(1761.76)	FM(  8.57)	items/sec: 49248.19	ratings/sec:   0.05M
0: Sampling iteration 125:	 RMSE: 7.7705	avg RMSE: 5.8068	FU(1760.49)	FM(  7.14)	items/sec: 45019.36	ratings/sec:   0.05M
0: Sampling iteration 126:	 RMSE: 16.5057	avg RMSE: 5.8146	FU(1753.70)	FM(  6.61)	items/sec: 43314.67	ratings/sec:   0.04M
0: Sampling iteration 127:	 RMSE: 2.9956	avg RMSE: 5.7692	FU(1766.47)	FM(  5.81)	items/sec: 45673.00	ratings/sec:   0.05M
0: Sampling iteration 128:	 RMSE: 10.3536	avg RMSE: 5.7896	FU(1758.95)	FM(  8.21)	items/sec: 47752.99	ratings/sec:   0.05M
0: Sampling iteration 129:	 RMSE: 5.6177	avg RMSE: 5.7443	FU(1764.97)	FM(  8.04)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 130:	 RMSE: 13.5560	avg RMSE: 5.8268	FU(1756.24)	FM( 12.77)	items/sec: 49833.31	ratings/sec:   0.05M
0: Sampling iteration 131:	 RMSE: 20.0568	avg RMSE: 5.9936	FU(1761.31)	FM(  9.37)	items/sec: 47843.77	ratings/sec:   0.05M
0: Sampling iteration 132:	 RMSE: 15.0275	avg RMSE: 6.0253	FU(1768.14)	FM( 11.88)	items/sec: 49441.70	ratings/sec:   0.05M
0: Sampling iteration 133:	 RMSE: 4.1821	avg RMSE: 5.9570	FU(1760.04)	FM( 11.83)	items/sec: 46006.99	ratings/sec:   0.05M
0: Sampling iteration 134:	 RMSE: 11.1912	avg RMSE: 6.0165	FU(1757.24)	FM( 11.67)	items/sec: 48026.38	ratings/sec:   0.05M
0: Sampling iteration 135:	 RMSE: 11.0824	avg RMSE: 6.0749	FU(1758.17)	FM( 10.97)	items/sec: 49248.19	ratings/sec:   0.05M
0: Sampling iteration 136:	 RMSE: 5.2231	avg RMSE: 6.0063	FU(1757.78)	FM(  9.29)	items/sec: 49636.73	ratings/sec:   0.05M
0: Sampling iteration 137:	 RMSE: 17.3847	avg RMSE: 6.1368	FU(1757.27)	FM(  9.41)	items/sec: 48302.93	ratings/sec:   0.05M
